,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Computing Department - MSc Project Roadmap,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Modules,,,Research Methods and Professional Practice Module,,,Project Module,,,,,,,,,,,,,
,,Deadlines,,,,,,Week 1,Week2,Week 3,Week 4,Weeks 5 to 7,Week 8,Weeks 9 to 28,,,,,,Weeks 29 ,Week 30
,,MILESTONES,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Preparation,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Research and Development,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Defence,,,,,,,,,,,,,,,,,,,
